ts_event,alpha,gamma
2025-04-03 13:39:57.982800345+00:00,0.04444488783939133,0.3433063510274037
2025-04-03 14:12:59.587071374+00:00,0.022205143191455234,0.32641048563992586
2025-04-03 14:03:59.414135854+00:00,0.05502356210728448,0.1377769556142406
2025-04-03 18:41:55.615440087+00:00,0.185264703580655,0.07409833185237663
2025-04-03 19:47:59.725642049+00:00,0.08499999908555195,1.5914545534045446e-09
2025-04-03 14:25:59.352093904+00:00,3.1038085261075086e-05,1.19541410902954
2025-04-03 17:58:59.691534887+00:00,0.0016129063715143485,0.6828191396002316
2025-04-03 17:35:59.409236263+00:00,0.05190284972079511,0.12773862771169853
2025-04-03 15:23:59.966176023+00:00,3.7308630070423456e-06,1.523018377081104
2025-04-03 17:55:55.373557792+00:00,0.0007109147058168665,0.7435552820452658
2025-04-03 16:03:58.672794886+00:00,0.0003777776435467479,0.871459567460145
2025-04-03 14:46:59.277020963+00:00,0.03391388085430203,0.29881328045833894
2025-04-03 16:52:58.649020201+00:00,0.0593122975180182,0.2539265955639279
2025-04-03 18:08:55.892127231+00:00,0.012633492606723837,0.421982882109935
2025-04-03 18:01:59.556820974+00:00,0.16871401558066387,0.09473765255753194
2025-04-03 15:03:59.951892965+00:00,2.1074851124197754e-10,2.63121756477634
2025-04-03 13:45:59.313181314+00:00,0.00044066908705017504,0.7349252001663956
2025-04-03 15:34:59.726270705+00:00,0.0007902432903706435,0.9595946420445802
2025-04-03 17:21:59.888332520+00:00,9.083474912106052e-05,1.137577786539951
2025-04-03 13:30:59.476216969+00:00,0.0020758871129471133,0.6763008117925443
2025-04-03 16:44:58.760351619+00:00,2.3295478213982305e-05,1.2285488943499687
2025-04-03 19:37:59.651885080+00:00,0.005691886877120609,0.5475816306544384
2025-04-03 16:31:59.954569709+00:00,0.04361957745652228,0.2732677547465786
2025-04-03 14:48:59.716879205+00:00,8.642499469513433e-08,2.061675264320719
2025-04-03 15:41:59.912940101+00:00,0.062335637154160566,0.249504880661153
2025-04-03 15:36:58.697671017+00:00,0.00018901168187128746,0.9970284699641832
2025-04-03 17:43:58.606745388+00:00,0.00028840258783852573,1.0690075030706347
2025-04-03 17:34:57.075478183+00:00,0.11563365236636562,0.17770993336155996
2025-04-03 19:49:59.035862010+00:00,0.012129011592332548,0.3921543527161011
2025-04-03 19:48:58.552143333+00:00,0.004689106120511174,0.44297154908519687
2025-04-03 14:16:59.784833419+00:00,0.017113919589988858,0.27629691391867806
2025-04-03 17:13:57.839664353+00:00,0.012475019841803141,0.39257087657906686
2025-04-03 14:42:59.535549811+00:00,0.04426792189036571,0.26315518650708924
